time_s,yaw,pitch,roll,label,subject_id,scenario,source_file
1.22,7.092536029606204,19.513325905482738,4.535084338136562,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.24,7.093471087283771,19.51271001449269,4.533572018592886,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.26,7.093279218031645,19.512720839292502,4.531377143122447,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.28,7.091611714883046,19.51199820248494,4.528587564269836,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.3,7.084577536520213,19.509937816144195,4.528396907990107,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.32,7.0785486931241595,19.510083147080266,4.528445014462325,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.34,7.070548608302966,19.509563726760238,4.529940162931019,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.36,7.063019282231613,19.503173605407802,4.529302996189913,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.3800000000000001,7.057955750200044,19.500108155069174,4.5283614134255545,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.4000000000000001,7.0535892258728,19.49444243596405,4.525070148182789,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.42,7.047563164791607,19.489172106369487,4.523881303323457,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.44,7.041956796191341,19.48317740727169,4.522236952964517,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.46,7.039008676190664,19.48163576933188,4.521640639083422,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.48,7.035997320031369,19.48025193387615,4.522055662181305,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.5,7.032603049855642,19.48334405257769,4.526123004872462,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.52,7.030694688139844,19.48538437750826,4.528860414835242,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.54,7.028136172125213,19.488075662275936,4.530767984860406,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.56,7.027914887030159,19.490390754068024,4.530356047688991,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.58,7.029706943793999,19.48955596212763,4.526374456657377,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.6,7.034870041438476,19.48923610148707,4.519711117402359,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.62,7.038873003001433,19.488616145442894,4.514712668671963,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.6400000000000001,7.044825826323587,19.487785928549528,4.510473860758888,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
